#0	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E1.srt
#1	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E2.srt
#2	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E3.srt
#3	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E4.srt
#4	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E5.srt
#5	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E6.srt
word           total	0	1	2	3	4	5	example
are            101	6	17	22	18	17	21	"and you are still too damn stupid to learn how to turn off a switch?
area           2	0	1	1	0	0	0	That area? --That's what I need cleared.
argue          2	0	0	0	1	0	1	Jim, I'm not here to argue with you, all right?
arguing        2	0	0	1	1	0	0	I'm not arguing. I'm just saying.
armed          1	0	0	0	0	1	0	It'll be heavily armed. We'd be safe there.
army           1	0	0	0	0	1	0	Now if they exist, they're at the army base.
around         15	1	3	2	5	2	2	Bring it, bring it bring it around ahah
arrest         2	0	1	0	1	0	0	Arrest me?
arrive         1	0	0	0	0	1	0	If you are, we'll be gone by the time you arrive.
arrow          4	0	0	0	4	0	0	You get an arrow in the ass. Just so you know.
art            1	0	0	1	0	0	0	And it is an art, my friend. It is not to be taken lightly.
ashamed        1	0	0	1	0	0	0	- I'm not ashamed of it. - We were all scared.
asian          2	0	0	0	2	0	0	But I've got asian. You interested?
aside          1	0	1	0	0	0	0	- What else? - Aside from they hear you?
ask            9	4	1	1	1	1	1	Look, I ask and you answer, It's common courtesy, right?
asking         7	0	0	2	2	2	1	Are you asking me or telling me?
aspirin        1	0	0	0	0	1	0	You go looking for aspirin, do what you need to do.
ass            21	2	6	6	7	0	0	Man, you watch your ass.
asses          1	0	0	0	1	0	0	Unload on their asses, ese.
asshole        3	0	2	0	1	0	0	We're dead because of this stupid asshole.
assistance     1	1	0	0	0	0	0	in progress Lincoln county units request local assistance.
assorted       1	0	0	1	0	0	0	- Ammo?　- 700 rounds, assorted.
asthma         2	0	0	0	2	0	0	He needs his asthma stuff.
atlanta        14	4	1	5	2	1	1	They're in Atlanta, I'll bet.
attaboy        2	0	2	0	0	0	0	Attaboy. Yeah.
attack         3	0	0	0	1	1	1	- What the hell is this?　- An asthma attack.
attacked       2	0	0	0	2	0	0	- Come on, man. - My people got attacked.
attention      2	0	1	0	1	0	0	Don't draw attention.
automated      1	0	0	0	0	1	0	It's an automated device. It's gears, okay?
available      1	1	0	0	0	0	0	All available units, high speed pursuit
away           14	2	3	2	4	3	0	Get away from the windows.
awful          1	0	0	0	0	0	1	That's asking an awful lot these days.
axe            1	0	1	0	0	0	0	Give me the axe.
ayudame        4	0	0	0	4	0	0	- Ayudame! - Shut up!
baby           13	2	1	4	3	2	1	- Is that right? - Yeah, baby.
back           76	4	13	22	20	10	7	Sounds like they're chasing those idiots up and down every back road we got.
backing        1	0	0	0	0	1	0	So you're backing him?
bad            25	1	6	6	4	4	4	- That would be bad. - Yeah, go with the uh...
bag            21	0	2	7	12	0	0	- Got ammo? - In that duffel bag I dropped out there,
balls          2	0	0	0	1	1	0	You got some balls for a Chinaman.
bandage        3	3	0	0	0	0	0	Hey, mister! What's that bandage for?
bandwidth      1	0	0	1	0	0	0	date back to the '70s, don't match any other bandwidth--
bank           1	1	0	0	0	0	0	My boy say you're a... bank robber...
bare           1	0	0	1	0	0	0	you can strip that van down to the bare metal.
barely         1	0	0	1	0	0	0	Yeah, looks don't deceive. I barely got them out,
barred         1	0	0	0	1	0	0	So we barred all the windows,
barricaded     1	0	1	0	0	0	0	Are you the one that barricaded the alley?
base           4	0	3	0	0	1	0	Base camp, this is T-dog. Anybody hear me?
based          1	0	0	0	0	1	0	If one of us suggested, based on a hunch,
basement       1	0	0	0	0	0	1	The basement generators-- they run out of fuel.
basically      1	0	0	0	0	0	1	Basically, it gets them up and moving.
bastard        5	0	0	2	3	0	0	Are you crazy, driving this wailing bastard up here?
bastards       1	0	0	0	1	0	0	What about 1,000 dead dumb bastards?
bathroom       1	0	0	0	1	0	0	But most can't even get to the bathroom by themselves,
beans          1	0	0	1	0	0	0	When you get down to that last can of beans,
bearing        1	0	0	1	0	0	0	filthy, disease-bearing,
beat           4	0	2	1	1	0	0	So you can beat my ass again?
beats          1	0	0	0	1	0	0	Beats on him, threatens to cut off his feet,
because        14	2	2	1	5	0	4	and my job, apparently because...
bed            1	1	0	0	0	0	0	She died in the other room, on that bed...
bedroom        1	1	0	0	0	0	0	I found empty drawers in the bedroom.
bedtime        1	0	0	0	0	0	1	All right. Come on, kids, it's bedtime.
been           31	6	3	5	5	7	5	you've been hearing this your entire　life
before         15	3	0	6	2	1	3	Sit down,before you fall down.
beg            3	0	0	3	0	0	0	I ain't gonna beg you now!
begged         3	0	0	2	0	0	1	I ain't begged you before.
begging        2	0	0	2	0	0	0	I ain't gonna start begging now.
begin          2	0	0	2	0	0	0	I can't begin to express it.
beginning      1	0	0	1	0	0	0	I'm beginning to question the division of labor here.
behave         1	0	0	1	0	0	0	I didn't behave, I know.
behavior       1	0	0	0	1	0	0	This was not behavior developed over time.
behind         11	0	2	6	2	1	0	We'll be right behind you.
being          10	0	0	4	3	2	1	I know I'm being punished.
believe        7	3	1	2	0	1	0	This look and loathing you would not believe.
bell           1	0	1	0	0	0	0	You just rang the dinner bell.
belongs        2	0	0	1	0	1	0	It belongs in here.
belt           1	0	0	0	1	0	0	He must have used a tourniquet-- maybe his belt.
bender         1	0	1	0	0	0	0	Bad enough I've got this taco-bender on my ass all day.
benning        3	0	0	0	0	3	0	- Fort Benning. - That's 100 miles in the opposite direction.
benz           1	0	0	1	0	0	0	I miss my Benz, my sat nav.
beretta        1	0	1	0	0	0	0	I've got a beretta with one clip,
bessi          1	1	0	0	0	0	0	Leon Bessi?
best           12	1	0	4	0	6	1	Come on, son. You know best how to work this thing,
bet            9	3	1	1	1	2	1	Your gun shot... We got a little bet going.
better         18	1	3	8	3	1	2	You got one better.
between        4	2	0	0	0	1	1	What's the difference between men and women?
big            7	0	2	1	1	1	2	welcome to the big city.
bigger         1	0	1	0	0	0	0	Guess I'm an even bigger dumbass than you.
biggest        1	0	0	0	1	0	0	That's a lie. That's the biggest lie there is.
bill           1	1	0	0	0	0	0	"Always,always yelling about the power bill,"
bills          1	0	1	0	0	0	0	worrying about bills
birmingham     1	0	0	0	0	1	0	We have family in Birmingham.
birth          1	0	0	0	0	0	1	does or thinks from the moment of birth
birthday       3	0	0	0	1	2	0	It's Amy's birthday tomorrow.
biscuits       1	0	1	0	0	0	0	They've got biscuits waiting at the oven for us.
bit            15	4	0	4	2	3	2	Did you get bit?
bitch          17	4	3	5	3	1	1	She'll bitch about global warming.
bitches        1	0	0	0	1	0	0	They're the evilest, nastiest man-eating bitches you ever saw.
bite           1	0	0	0	1	0	0	I think you have a bite.
bites          1	1	0	0	0	0	0	Bites kill you.
bitten         1	0	0	0	0	0	1	Someone who was bitten and infected...
blade          1	0	0	0	1	0	0	I guess the saw blade was too dull for the handcuffs.
blame          2	0	0	0	1	1	0	- You can't stop me. - I don't blame you.
blames         1	0	0	0	0	1	0	Shane blames me for not being here.
blaming        1	0	0	0	1	0	0	You had sunstroke. Nobody's blaming you.
blast          1	0	0	0	0	0	1	that produces a blast wave of significantly greater power
bleeding       2	0	0	0	1	1	0	He could be bleeding out. You said so yourself.
blessing       1	1	0	0	0	0	0	Daddy... Blessing...
blessings      1	1	0	0	0	0	0	Father,we thank thee for this food... Thy blessings...
blind          1	1	0	0	0	0	0	They're struck blind the second they leave a room.
blocks         3	0	0	0	3	0	0	We could help you check a few blocks around
blood          8	0	0	0	5	1	2	Be much more blood if he didn't.
blow           2	0	0	0	0	1	1	I think tomorrow I'm gonna blow my brains out.
blowtorch      1	0	1	0	0	0	0	If we had a blowtorch and half a day, sure.
blue           1	1	0	0	0	0	0	It's the blue one, down the street.
boat           6	0	0	0	3	3	0	I only spent my entire childhood with my ass in a boat.
bodies         2	0	0	0	0	2	0	I just got some on me from the bodies.
body           1	0	0	1	0	0	0	They come back, we need every able body we've got.
boil           1	0	0	1	0	0	0	Just a reminder to boil before use.
bold           1	0	0	1	0	0	0	There was some mighty bold talk about catching frogs.
bolt           2	0	0	2	0	0	0	Rumor is you have bolt cutters.
bolted         2	0	0	0	0	0	2	the rest bolted.
bolting        1	0	0	0	0	0	1	While our people were bolting out the doors
bomb           1	0	0	0	0	1	0	The dead girl's a time bomb.
bone           1	0	0	1	0	0	0	Could you throw me a bone here, man?
bones          2	0	0	0	0	2	0	My bones--
boobs          1	1	0	0	0	0	0	"maybe you, and every other pair of boobs on this planet
book           1	0	0	0	0	0	1	I've already broken every rule in the book letting you in here.
books          2	1	0	0	0	0	1	Read your comic books a while.
booyah         3	0	0	0	0	0	3	- Hear hear! - Here's to you, doc. Booyah!
born           3	1	1	0	1	0	0	They're born thinking the switch only goes one way.
borrow         1	1	0	0	0	0	0	Can I borrow some gas?
boss           2	0	1	0	1	0	0	Now that means I'm the boss, right?
both           7	1	0	2	3	1	0	just figured out that the light switch see, goes both ways,"
bothering      1	0	0	0	1	0	0	Ain't no need to be bothering me no more the rest of the night.
bottom         1	0	0	1	0	0	0	You and that bag-- like the bottom of an old lady's purse.
bowl           1	0	1	0	0	0	0	or the rent or the Super Bowl.
box            1	0	0	0	0	1	0	The box is half full.
boy            27	7	2	8	5	1	4	Alright, Reverend Shane's preaching to you now, boy.
boys           2	0	0	0	2	0	0	I told that to my wife and my two boys.
brain          10	1	1	1	0	1	6	Except for something in the brain.
brains         1	0	0	0	0	1	0	I think tomorrow I'm gonna blow my brains out.
break          5	0	0	2	1	1	1	It's not enough to break through that--
breaking       1	0	0	0	0	1	0	I guess I'll just add it to the list of habits that I'm breaking
breath         3	0	0	0	3	0	0	Couldn't get his breath all of a sudden.
breathe        3	0	0	0	3	0	0	Nice and easy. Just breathe.
breathing      1	0	0	0	1	0	0	Mr. Gilbert is having trouble breathing.
breeze         1	0	0	0	0	1	0	The breeze feels nice.
brian          1	0	0	0	0	0	1	the brian goes into shutdown,
bright         1	0	1	0	0	0	0	The bright side:
bring          14	5	1	4	1	1	2	They wanted me to bring them down, they send their love and they just...
bringing       2	0	1	0	0	1	0	And you're bringing even more of them down on our ass!
bro            1	0	1	0	0	0	0	I don't think so, bro. That'll be the day.
broadcast      1	1	0	0	0	0	0	Huge, when they said it, before the broadcast stopped.
broadcasting   3	3	0	0	0	0	0	Broadcasting on emergency channel.
broken         2	1	0	0	0	0	1	You know anybody could've broken in here and stolen clothes, right?
brother        12	0	0	5	4	1	2	- Daryl? - His brother.
brought        1	0	0	0	0	1	0	If we hadn't gone off and brought those guns back
browse         1	0	0	0	0	0	1	Baby, go say your prayers. I'm gonna browse a bit.
bruises        1	0	0	1	0	0	0	So she can show up with fresh bruises later, Ed?
brutal         1	0	0	0	0	0	1	A short, brutal life and an agonizing death.
bucket         1	0	0	1	0	0	0	Come on, let's find this bucket.
bud            5	1	0	1	1	0	2	Hey, bud... We're still here.
buddy          4	2	1	0	0	1	0	Hey, hey, hey, come on, take a sit, buddy.
building       4	0	2	0	1	0	1	Maybe not. Old building like this built in the '20s--
built          3	0	1	1	1	0	0	Maybe not. Old building like this built in the '20s--
bull           1	0	0	1	0	0	0	You don't want to keep prodding the bull here, okay?
bullets        2	0	1	1	0	0	0	Man, you wasting bullets we ain't even got!
bump           3	0	1	0	1	1	0	We go off somewhere and bump some uglies?
bumped         1	1	0	0	0	0	0	One of them must've bumped a car...
bunch          1	0	0	0	1	0	0	Bunch of old farts who are gonna die off momentarily anyhow?
burn           2	0	0	0	0	2	0	We don't burn them!
burned         1	0	0	0	1	0	0	What's that burned stuff?
burning        1	0	0	0	0	1	0	I still think it's a mistake not burning these bodies.
burns          1	1	0	0	0	0	0	The fever... burns you out.
bury           2	0	0	0	0	2	0	We bury them.
burying        1	0	0	0	0	1	0	Burying other people is bad enough,
business       3	0	0	3	0	0	0	You should mind your own business for once.
busting        1	0	0	0	1	0	0	Didn't stop him from busting out of this death trap.
busy           4	0	0	0	2	1	1	'cause the dead were too busy eating my family.
but            63	10	7	8	15	10	13	Look, man, I may have a... fail to amuse with my sermon, but I did try.
buzzkill       1	0	0	0	0	0	1	Dude, you are such a buzzkill, man.
bye            2	0	0	0	0	2	0	Bye.
cage           1	0	0	1	0	0	0	I cleaned out the cage back at the station before I left.
cajun          1	0	0	1	0	0	0	Cajun-style kermit legs.
calendar       1	0	0	0	1	0	0	I've been marking days on the calendar just to make sure.
call           10	0	2	2	1	5	0	Call it foolish, naive hope
called         1	1	0	0	0	0	0	- He called me Carl. - Son, you know they don't talk.
calling        1	0	0	0	1	0	0	- You calling G a liar?　- Are you a part of this?
callously      1	0	0	0	0	1	0	with callously killing a man.
calls          1	1	0	0	0	0	0	Hello, hello, is the person who calls still on the air?
calm           4	0	0	2	2	0	0	Calm down, son. That's not helping.
came           12	1	2	1	4	3	1	Came home, that's all I know.
camera         1	0	0	0	0	1	0	- Let's go. Move. - The camera-- it moved.
camp           13	0	3	5	2	2	1	Base camp, this is T-dog. Anybody hear me?
camped         1	0	0	0	0	1	0	We're camped a few miles northwest,
can            83	9	15	18	12	20	9	Can you remember?
cancer         1	0	0	0	0	1	0	- Cancer, wasn't it? - Yeah.
cannot         2	1	0	0	0	1	0	You cannot walk off like that, all half-cocked.
canoe          1	0	0	0	1	0	0	It's his canoe and gear.
cans           1	0	0	0	0	1	0	We could hang some more tin cans.
car            5	2	0	2	0	1	0	One of them must've bumped a car...
caravan        1	0	0	0	0	1	0	That'll stop the caravan.
care           9	2	0	0	3	2	2	Sometimes I wonder if you even care about us at all.
cared          2	0	0	0	0	2	0	We all cared about her
careful        1	0	0	0	0	1	0	But be careful.
carefully      3	1	0	2	0	0	0	We gotta do it carefully, teach you to respect the weapon.
careless       1	1	0	0	0	0	0	Careless and dumb, but... can't leave him like this.
carl           25	10	0	8	3	1	3	Certainly not in front of Carl.
carlito        1	0	0	0	1	0	0	Carlito didn't find it.
carnal         1	0	0	0	1	0	0	They're gonna cut off my feet, Carnal.
carol          8	0	0	3	2	2	1	Hey, Carol, Sophia, how are y'all this evening?
carries        1	0	1	0	0	0	0	- You hear me?!　- Yeah, your voice carries.
carry          1	0	0	0	0	0	1	that carry all the messages.
cars           4	0	0	1	1	2	0	not even the scanners in our cars.
case           3	0	2	0	0	0	1	into the sewers in case of flooding down in the subbasements.
catastrophic   1	0	0	0	0	0	1	In the event of a catastrophic power failure--
catch          7	0	1	4	2	0	0	They see you, smell you and if they catch you, they eat you.
catching       1	0	0	1	0	0	0	There was some mighty bold talk about catching frogs.
caucasians     1	1	0	0	0	0	0	Suspects are two male Caucasians.
caught         2	0	0	2	0	0	0	- I've caught a frog before. - I said frogs-- plural.
cause          2	2	0	0	0	0	0	cause I then gotta walk through that house,
cauterized     1	0	0	0	1	0	0	He cauterized the stump.
caution        1	1	0	0	0	0	0	Proceed with extreme caution.
celebrating    1	0	0	0	0	0	1	- Where are they? - We're celebrating, Shane.
center         4	1	3	0	0	0	0	Center for Disease Control.
certainly      1	1	0	0	0	0	0	Certainly not in front of Carl.
certainty      1	0	0	0	0	1	0	Tell me something with certainty.
chain          5	0	0	5	0	0	0	or take it up the chain if you're a pussy.
chained        1	0	0	1	0	0	0	Look, I chained the door to the roof--
chamber        1	1	0	0	0	0	0	Make sure you got a round in the chamber and your safety off.
chance         11	0	1	2	0	3	5	If you move now while they're distracted, you stand a chance.
change         5	1	1	1	1	1	0	Well pissing me all you want won't gonna change anything.
changed        3	1	0	0	2	0	0	Got that bandage changed out.
changing       1	0	0	0	1	0	0	But that'd be like changing his religion or something.
channel        4	2	0	0	0	2	0	Broadcasting on emergency channel.
charge         2	0	1	0	0	1	0	Talk about who's in charge.
chases         1	1	0	0	0	0	0	like World's craziest police chases, what do you think?
chasing        2	1	1	0	0	0	0	Sounds like they're chasing those idiots up and down every back road we got.
chatter        1	0	0	0	0	1	0	Let's keep the chatter down, okay?
chd            6	1	1	1	1	1	1	CHD版個人美化微修：字幕雷哥
cheated        1	0	0	0	0	1	0	I felt so cheated.
check          8	0	1	0	3	0	4	Hey, Glenn, check the alley.
checked        1	0	0	0	0	1	0	125. I checked the map.
chemos         1	0	0	0	0	1	0	And after all the surgeries and the chemos,
chest          1	0	0	0	0	0	1	I even took my ear and I put it on his chest
chewed         2	1	0	1	0	0	0	Chewed. Maybe scratch?
chick          2	2	0	0	0	0	0	turn off every single light this chick left on.
child          1	1	0	0	0	0	0	She's the mother of my child.
childhood      1	0	0	0	1	0	0	I only spent my entire childhood with my ass in a boat.
children       3	0	0	0	1	1	1	...Because of you my children will eat tonight.
chill          6	0	2	0	4	0	0	Just chill out, Andrea. Back off.
china          1	0	0	0	1	0	0	Are you heading to China, Jim?
chinaman       2	0	0	0	1	1	0	You got some balls for a Chinaman.
choice         3	0	0	0	0	1	2	The C.D.C. is our best choice and Jim's only chance.
choose         1	0	0	1	0	0	0	- Hey, choose your words more carefully.　- No, I did.
chop           1	0	0	0	1	0	0	I'm gonna chop up your boy. I'm gonna feed him to my dogs.
chopping       1	0	1	0	0	0	0	Keep chopping.
chores         1	1	0	0	0	0	0	- Go finish your chores. - Okay.
chose          1	0	0	0	0	0	1	You chose the hard path.
christ         4	0	0	3	0	1	0	No no, merciful christ!
chromosomes    1	1	0	0	0	0	0	because my chromosomes happen to be different
chuck          1	0	0	0	0	1	0	how far do you think I can chuck this, huh?
cigarettes     1	0	0	1	0	0	0	Sitting on your ass smoking cigarettes?
cindy          1	1	0	0	0	0	0	This place... It's Fred and Cindy Drake's.
cities         1	0	0	1	0	0	0	They're moving out of the cities.
city           15	2	5	2	2	4	0	We're just outside the city.
clammed        1	0	0	0	0	0	1	I don't like the way Jenner clammed up.
claustrophobic 1	0	0	0	0	0	1	Are you claustrophobic?
clean          4	0	1	1	1	1	0	You the new sheriff come riding in to clean up the town?
cleaned        1	0	0	1	0	0	0	I cleaned out the cage back at the station before I left.
clear          5	0	0	0	1	4	0	No, I'm pretty clear.
cleared        1	0	1	0	0	0	0	That area? --That's what I need cleared.
climbed        1	0	1	0	0	0	0	on the tank but the others have climbed down
clinch         1	0	0	0	1	0	0	Clinch knots?
clinical       1	0	0	0	0	1	0	There's no clinical progress to report.
clint          1	0	1	0	0	0	0	Nice moves there, Clint Eastwood.
clip           1	0	1	0	0	0	0	I've got a beretta with one clip,
clock          2	0	0	0	0	0	2	That clock--
close          8	0	0	0	3	3	2	You keep your boy close.
closed         3	1	0	0	0	0	2	You think I was the most closed mouth
closer         3	0	2	1	0	0	0	Get closer. Get closer. Come on. Come on.
closes         1	0	0	0	0	0	1	Once this door closes, it stays closed.
closest        4	0	0	3	0	1	0	I guess that comes closest.
clothes        3	2	0	1	0	0	0	They packed some clothes.Not a lot.
cloudburst     1	0	1	0	0	0	0	It's just a cloudburst.
club           1	0	0	1	0	0	0	This ain't no comedy club.
cocked         1	1	0	0	0	0	0	You cannot walk off like that, all half-cocked.
cocky          2	0	0	2	0	0	0	You're getting cocky now, a little bit.
cocoists       1	0	0	0	0	0	1	cocoists of a two-stage aerosol ignition
code           1	1	0	0	0	0	0	Dispatch, Unit 1, Unit 3, we are 10-97 in code 100.
coffeemaker    1	0	0	1	0	0	0	I miss my coffeemaker
cold           3	0	0	3	0	0	0	It's cold, man.
collection     1	1	0	0	0	0	0	I hope you left her that spoon collection.
college        3	0	0	1	1	1	0	just 'cause you're some college-educated cooze,
color          1	0	0	0	1	0	0	Wrapping paper, color tissue, anything?
coma           1	0	0	1	0	0	0	in some coma dream,
come           151	20	40	24	23	13	31	It's like I... come home, house all lit up,
comedy         1	0	0	1	0	0	0	This ain't no comedy club.
comes          4	0	1	3	0	0	0	so you can shoot that cop when he comes back up, huh?
comfortable    1	0	0	0	0	0	1	The couches are comfortable,
comic          1	1	0	0	0	0	0	Read your comic books a while.
coming         16	1	1	7	1	3	3	You're coming through. Over.
command        1	0	0	1	0	0	0	Take it up the damn chain of command
committing     1	0	0	0	0	0	1	and committing suicide in the hallways,
common         3	1	2	0	0	0	0	Look, I ask and you answer, It's common courtesy, right?
communications 1	0	0	0	0	0	1	Communications, directives-- all of it.
company        1	0	0	0	1	0	0	Keep your daddy company.
compassionate  1	0	0	0	0	0	1	more compassionate to just hold your loved ones
compensation   1	0	0	0	1	0	0	Where's the compensation for their pain and suffering?
competition    1	0	0	1	0	0	0	Guys, it's not a competition.
complaint      1	0	0	1	0	0	0	You can file a complaint.
complete       1	0	0	0	0	1	0	Full decontamination complete.
completely     1	0	0	0	0	0	1	- But that's insane! - no, it's completely sane.
computer       1	0	0	1	0	0	0	My computer...
computers      2	0	0	0	0	0	2	computers running to the last possible second.
concerned      2	0	1	0	1	0	0	I don't mind telling you I'm a little concerned in here.
concerns       1	0	0	1	0	0	0	Nothin' that concerns you.
conditioning   1	0	0	0	0	0	1	the air conditioning stopped.
confusion      1	0	0	1	0	0	0	Fear, confusion-- all those things but...
connect        1	0	0	1	0	0	0	Our plan was to connect when they got closer.
conquer        1	0	0	0	1	0	0	and not spend all of your breath trying to conquer it."
conserve       1	1	0	0	0	0	0	Conserve your ammo.
consider       1	0	0	0	0	1	0	You gotta really consider whether you want to
considered     1	0	1	0	0	0	0	Would it be considered looting?
construction   1	0	1	0	0	0	0	That construction site,
contact        1	0	1	0	0	0	0	Hey, T-dog, try that C.B. Can you contact the others?
control        4	1	0	1	1	0	1	Center for Disease Control.
conversation   2	0	0	2	0	0	0	are you sure you want to have this conversation, man?
convinced      1	0	0	0	0	1	0	These people, man, they're not convinced.
cook           1	0	0	1	0	0	0	cook us up some venison.
cooked         1	0	0	0	1	0	0	Your mama's right. Sun just cooked my head is all.
cool           3	2	0	1	0	0	0	Would be kind of cool to get on one of them shows.
cooler         1	1	0	0	0	0	0	Feels cooler now.
cooling        1	0	0	0	1	0	0	Cooling you down, huh?
cooperation    1	0	0	1	0	0	0	I appreciate the cooperation.
cooze          1	0	0	1	0	0	0	just 'cause you're some college-educated cooze,
cop            4	0	3	1	0	0	0	You wouldn't. You're a cop.
cops           1	0	0	0	1	0	0	Cops do that?
